event_id,week,market,player,selection,line,odds,model_probability,edge,outcome,actual,profit
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,receptions,Jaylin Lane,under,1.5,130.0,0.74,0.30521739130434783,won,1.0,1.3
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,pass_tds,Geno Smith,over,1.5,130.0,0.52825,0.09346739130434784,won,3.0,1.3
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Malcolm Koonce,over,0.25,125.0,0.77275,0.32830555555555563,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Ashton Jeanty,over,14.5,112.0,0.57325,0.10155188679245286,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_longest,Ashton Jeanty,over,9.5,110.0,0.55825,0.08205952380952386,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,rush_attempts,Marcus Mariota,under,6.5,109.0,0.6005,0.12203110047846893,won,6.0,1.09
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Terry McLaurin,over,49.5,108.0,0.58225,0.10148076923076926,won,74.0,1.08
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,sacks,Maxx Crosby,over,0.75,106.0,0.73875,0.2533131067961165,won,1.0,1.06
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,tackles_assists,Devin White,under,7.5,105.0,0.772,0.28419512195121954,won,4.0,1.05
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,rush_yards,Marcus Mariota,under,28.5,105.0,0.571,0.08319512195121948,lost,40.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,pass_completions,Marcus Mariota,under,19.5,100.0,0.8875,0.38749999999999996,won,15.0,1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,tackles_assists,Frankie Luvu,under,6.5,100.0,0.56,0.06000000000000005,lost,7.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,tackles_assists,Kyu Blu Kelly,under,4.5,100.0,0.5785,0.07850000000000001,lost,5.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,receptions,Deebo Samuel Sr.,under,4.5,100.0,0.5615,0.0615,won,2.0,1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,pass_longest_completion,Marcus Mariota,under,33.5,-102.0,0.57875,0.07379950495049503,lost,56.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,rush_attempts,Ashton Jeanty,under,15.5,-103.0,0.5700000000000001,0.06261083743842366,lost,17.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_longest,Ashton Jeanty,over,8.5,-105.0,0.62625,0.11405487804878045,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,tackles_assists,Isaiah Pola-Mao,under,6.5,-105.0,0.80225,0.2900548780487805,won,5.0,0.9523809523809523
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,rush_yards,Ashton Jeanty,under,61.5,-105.0,0.58475,0.07255487804878047,lost,63.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Ashton Jeanty,over,12.5,-105.0,0.62275,0.1105548780487805,lost,0.0,-1.0
03a5eed2c8ef5d1c8a48866ea4b0d63a,3,reception_yards,Ashton Jeanty,over,13.5,-106.0,0.59625,0.08168689320388345,lost,0.0,-1.0
